location,bedroom,bathroom,area_m2,price_usd,Neighborhood
Runda,3.0,2.0,2024.0,40000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,2.0,1.0,2.0,40000.0,"Makadara,Makadara"
Runda,2.0,2.0,2.0,40000.0,"Naivasha Road,Naivasha Road,Dagoretti North"
Runda,2.0,2.0,2.0,40000.0,"Ruaka,Kiambaa"
Lavington,1.0,1.0,1.0,40000.0,"Mbaazi Avenue,Lavington,Dagoretti North"
Runda,2.0,2.0,2.0,40000.0,"Karen-Dagoretti Road,Karen,Langata"
Runda,3.0,2.0,3.0,40000.0,"Koma Rock,Kangundo"
Runda,2.0,2.0,2.0,40000.0,"Ruaka,Kiambaa"
Runda,3.0,2.0,3.0,40000.0,"Mombasa Rd,Syokimau,Athi River"
Runda,3.0,2.0,3.0,42000.0,"Ruaka,Kiambaa"
Runda,2.0,1.0,35.0,42500.0,"Riara Heights,Naivasha Road,Dagoretti Corner,Dagoretti South"
Runda,2.0,2.0,2.0,43000.0,"Garden Estate Rd,Garden Estate,Roysambu"
Runda,2.0,3.0,2.0,43000.0,"USIU,SAFARI PARK AREA,Safari Park,Thika Road,Thika Road,Thika Road"
Runda,2.0,2.0,2.0,43000.0,"Ruaka,Ruaka,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,43500.0,"Naivasha Road,Dagoretti North"
Runda,2.0,1.0,2.0,44000.0,"Gala lane,Ngara,Starehe"
Runda,2.0,4.0,2.0,44000.0,"Mombasa Road,Mombasa Road"
Runda,1.0,1.0,1.0,45000.0,"Ngong Racecourse,Ngong Road,Ngong Road"
Runda,2.0,2.0,20235.0,45000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,3.0,2.0,3.0,45000.0,"Naivasha Road,Dagoretti North"
Runda,2.0,2.0,95.0,45000.0,"Kamiti Road,Jacaranda Gardens,Kahawa West,Roysambu"
Runda,2.0,2.0,4500.0,45000.0,"2,Karen road,Karen,Langata"
Kileleshwa,2.0,2.0,2.0,45000.0,"Kileleshwa,Dagoretti North"
Westlands,3.0,2.0,3.0,45000.0,"New Kitisuru,Kitisuru,Westlands"
Runda,2.0,2.0,2.0,45000.0,"Thindigua,Thindigua"
Runda,2.0,2.0,2.0,45000.0,"Ruaka,Kiambaa"
Runda,3.0,2.0,2500.0,45000.0,"Nyali cinemax,Cinemax nyali,Ziwa La Ngombe,Nyali"
Runda,2.0,2.0,2.0,45000.0,"Langata Area,Langata"
Runda,2.0,2.0,2.0,45000.0,"Langata Area,Langata"
Lavington,1.0,1.0,1.0,45000.0,"Chalbi Drive,Lavington,Dagoretti North"
Runda,3.0,4.0,3.0,45000.0,"Syokimau,Athi River"
Runda,2.0,2.0,2.0,45000.0,"Kiambu Road,Kiambu Road"
Runda,4.0,4.0,4.0,45000.0,"Juja farm road,Juja,Kiambu Constituency"
Runda,3.0,2.0,4000.0,45000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,2.0,2.0,1.0,45000.0,"Limuru road,Ruaka,Kiambaa"
Runda,3.0,3.0,3.0,45000.0,"Nyali beach road,Beach road nyali,Nyali Area,Nyali"
Runda,2.0,1.0,2.0,45000.0,"Ngong Road,Ngong Road"
Kileleshwa,1.0,1.0,35.0,45000.0,"Mandera Road,Kileleshwa,Dagoretti North"
